doc_id|mean_sentiment
0|0.022520054200542008
1|0.048704166666666666
2|0.020637078651685396
3|-0.002248727272727272
4|0.03744861111111111
5|0.011859337349397592
6|-0.01072771084337349
7|0.024984406779661017
8|0.032191168091168086
9|0.02246183745583039
10|0.020700712589073633
11|0.015762256809338522
12|0.008294941634241246
13|0.022743981481481487
14|0.05557383177570093
15|0.042872469635627526
16|0.04323003802281369
17|0.00888952879581152
18|0.034776951672862454
19|0.008092653061224489
20|-0.021589189189189187
21|0.03597692307692307
22|0.001594444444444447
23|0.00861140350877193
24|0.04053293172690763
25|0.03344980392156863
26|0.016306451612903228
27|0.005208593750000002
28|-0.02376459854014598
29|0.007763087248322148
30|0.019111056511056514
31|0.0065401515151515145
32|0.01803941908713693
33|0.053566935483870974
34|0.030865128205128205
35|0.02708134556574924
36|0.026648305084745767
37|0.013445348837209303
38|0.04426949685534591
39|0.02262671009771987
40|0.05018991354466859
41|0.050038244514106586
42|-1.0704960835507379e-05
43|0.008550681198910084
44|0.03125530546623794
45|0.0451750830564784
46|0.009557756563245826
47|0.04696355685131195
48|0.02185923566878981
49|0.027663446475195825
50|0.005439275766016715
51|-0.01114732142857143
52|0.021762052505966585
53|0.005341686182669789
54|0.01819527777777778
55|0.017143342776203968
56|0.01505763157894737
57|0.04575955056179776
58|0.011302732240437156
59|0.001151079136690649
60|0.01182082191780822
61|-0.0015887700534759342
62|0.010001643835616438
63|0.031956438356164386
