doc_id|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
0|-0.2600710337754365|0.03410804725335252|-0.34311372324485023|-0.13580553939691256|-0.1957084604213097|0.04618766611996913|0.08260106322915886|-0.06926673473372925|-0.1552718908075302|-0.2715384527170485
1|-0.16160484502784825|0.03786676203609946|-0.17293271069216906|-0.25581055679490067|0.03565109255652704|0.061747689125896725|-0.02192473294239738|0.06547902289109059|0.014774487562952689|-0.08753614721997409
2|0.0033404355602060587|-0.12693857046375567|0.049297241149203315|-0.09444058350855528|-0.13514291114434673|0.10814164189334495|0.07107046754772589|0.019332040359507436|-0.15453542504626513|0.07185262500676044
3|-0.05028637872864808|-0.01671488973373382|0.027768066855720627|-0.21769763877897338|0.10316957871984747|-0.170360267136909|2.848281303686553e-05|0.3392042494056117|-0.17403203980845366|-0.06415644135033559
4|-0.06946871626139067|0.18500115667984798|0.05292709275999461|0.04983596586209866|0.07205733944344263|-0.14132375714879125|-0.13229824017672237|-0.14604664336406817|0.019803594796714247|0.08525858051681835
5|-0.08440486028560931|0.057394681071916136|-0.04146568870490313|0.006641188444457105|-0.03265935708278637|-0.07210856157222331|-0.049937421326601325|-0.024357686167139132|0.1369730357162352|-0.05008632294109166
6|-0.030017715374244792|-0.002661307357297219|-0.02734535279743237|-0.10396420524680869|-0.22946370018759252|0.010205391242434341|0.2129779559513283|-0.037340878498839644|0.06926617523663701|0.015051196780514331
7|0.5262494886769794|-0.07081458720153953|-0.15602272858856228|-0.08683971276467777|-0.1519346156396469|0.06691758701251431|-0.0024796899723527905|-0.07181774837666714|-0.03475540162201157|-0.004500546843734809
8|-0.011545346794480174|-0.08260763542217484|-0.03359328997382868|-0.04336538358982035|-0.05632262098079222|0.1490299189193241|-0.11452132828362546|-0.09009129553362244|0.29254065258304157|-0.17972057233631147
9|-0.021543799941792122|0.09951266317306875|0.0388651999884263|-0.061816752432983846|-0.1810524467138789|-0.030542217741645162|-0.08932463620840189|0.04875423295404614|0.08238880882790246|0.08516495067883222
10|-0.12971011508321303|0.08951782749104611|-0.042654557333778396|-0.159246539524355|-0.3399561388688915|0.07306290991500083|0.12317842453327366|0.0919713496475334|0.2811763226895774|0.05621709248510287
11|0.005659769387817592|0.18661752458704847|-0.1379159332169124|-0.1075047387649395|-0.15493330295921764|0.019896220532555763|-0.1046864694369068|0.12923526192709348|0.27577197925466407|0.0682384700223237
12|0.5373743516718502|-0.07502988994198244|-0.24915970415135322|-0.1101437958692911|-0.08720063235137322|0.05331190196927872|-0.1355822453167567|-0.14894915622005087|-0.026645933839043297|0.06118329365172659
13|-0.03665888082074956|-0.10265694448548675|-0.040123857040776555|-0.10696083665606564|0.1926911456145012|0.15712496255842445|-0.21558821114010626|-0.055566530894443994|0.22117864710482876|-0.10171042699293041
14|-0.07176119218200216|0.08868764460750073|-0.0227795741170397|-0.13847689846267844|0.17326158581736967|0.12220299882936844|-0.23048515378109433|-0.05358160161059514|0.19118337174882286|0.0349896486893734
15|0.08963102910703297|0.5961463691341795|0.20525232158741819|0.061844077561529216|0.025951868425820424|0.3626995773478507|-0.019890509918149592|0.07093237154708157|-0.11383159311394772|0.054154667138245176
16|-0.03671761120303238|0.1600683332593551|0.0043339482171580205|-0.12684776277470136|0.03464602886609339|0.03985688866640274|0.03168463123727551|-0.1430850003030193|-0.08409429965502378|-0.09412309327182981
17|-0.2615950459984811|-0.0816336627758698|-0.10687550177688672|0.11399527725269651|0.05872733617525876|-0.02547306032442266|-0.046842220941569604|0.017928867725586616|-0.1761431157693743|-0.06971398633764977
18|-0.274709042288102|0.030438219524006056|-0.4161355734664276|-0.0020341289082947515|-0.09593547359836205|0.021439692278290772|0.028475725340799243|-0.10685928290448085|-0.318180911321534|-0.142820815078213
19|-0.04055925336080094|0.04602836819858029|-0.044009526815078505|-0.10106822020869112|0.07136404220216067|-0.03746328501969641|0.052868088774100014|0.163863710232352|-0.09498823205137409|-0.008217260920393944
20|0.12898217004338147|-0.06564925795176496|0.05123741382367374|-0.22410425891537658|0.03965183521406402|-0.18600535627894463|-0.04199316214862238|0.3808846313501935|-0.120784344128544|-0.06762719649511299
21|0.15189250977224408|-0.11783418516299764|-0.025014420121038754|-0.10064611082028586|-0.09544060389039201|0.04006127775969934|0.04161027723006393|-0.0799310954036994|-0.04940735703256804|0.06346990172820866
22|-0.05580365223103721|0.16728409530897737|-0.06205438050297237|-0.10645891944448224|-0.030941278736836445|-0.15986288935454152|-0.025246599973482893|-0.003981820136435361|0.016822973740560184|-0.07149529904541074
23|-0.15688000406360258|0.12042441024572285|-0.11798170749629831|-0.07537299521189272|-0.24621005359215908|-0.08153575610719532|-0.09299739667989992|-0.0417697714535331|0.021871953131763416|-0.05388844354684837
24|-0.0009117735833860035|-0.009732665211619711|-0.08826476385960465|-0.14323761594420478|-0.007877248948139856|-0.32339521364236057|0.015455906659959336|-0.16563047845509304|0.11194438199442214|0.029957446372766337
25|0.01603118373869393|-0.14127133121735247|0.018155869237497194|0.0681401053121564|-0.04290354597703324|0.115390919948468|-0.09235324380878594|-0.003752833499296014|0.16724637684259017|0.1880584921913413
26|0.10376994029644526|0.021034505800418896|0.06810694698287596|-0.04821954865895829|0.10505452904293862|-0.10901240915136756|-0.13178821736274343|0.2781038631544234|-0.11024335446187888|0.14033579370145563
27|-0.08190398625543552|-0.1493414305312742|0.22078008568113308|-0.029377323793333396|0.157053085318078|0.10200056726736771|-0.1482347435975878|-0.050536364366825216|0.07890670873831404|-0.1092903578700136
28|-0.03815214949956597|0.17978226727630411|0.08193088322439314|0.04605141489412811|0.07580365990679896|-0.283019593655166|-0.024603824155954083|-0.356148190134507|-0.025532157420240478|0.10434386160816674
29|-0.04628973322360325|0.04411310475062893|0.024262769846530755|-0.05580291207447147|0.14218240141693264|-0.03449146517406263|-0.14478781680283578|-0.3274315305113525|0.03274038952321262|0.02763668943198223
30|-0.010267737700138514|-0.09154062830567918|0.35380416198337905|-0.18428218677101874|-0.056538957908344845|-0.04689925465514215|0.0007633545020956645|-0.1635008372236696|-0.08940510130304197|-0.14023236610545037
31|-0.04643425386345778|-0.20179052254493676|0.3622032269009459|-0.15809098289351214|-0.08957366756288639|-0.03114614557843733|-0.08272409825628028|-0.14030933614441865|0.012987927578656626|-0.06215690223884963
32|-0.08776299549819604|0.03369030901846479|-0.016386790271655297|-0.04514143294468125|-0.07958914157761997|-0.1957030115641111|-0.22688248654275536|0.07923357389330977|0.03067442475221535|0.3197766182761244
33|-0.03257901918348996|-0.07942308670367154|-0.004423244636171163|-0.041287508495288394|0.1404614012551129|-0.04632728780243668|-0.27733005661816273|-0.009634736982049223|0.015072318393453263|0.24409344251496715
34|-0.20653895087447793|-0.21944229718662728|-0.13950889378766224|0.1878009544063008|0.1132520267888943|0.10892756761403438|-0.10243719906037556|0.0007917465309470673|-0.22229761747725005|0.2036358294212904
35|-0.03444881194112254|-0.03989963498963446|-0.10718814763246438|0.08663760713595749|0.14450136926529622|0.0420339976677648|-0.08498035367447151|0.16947167413793301|-0.1071822614286593|0.37341868724593014
36|0.013190058079316268|-0.28825078328248427|0.2545214378802706|-0.021498724965082018|0.04712805318202776|0.2511657383439804|-0.14720676804207217|-0.0476919581804725|-0.05205957292490395|-0.15934813054243321
37|0.15780636977902662|-0.14842713077157157|0.042726258202226114|0.11137646873625787|-0.1434166587651085|0.10604484741120795|-0.03464604858223501|0.1511886011660881|0.08447844124894528|-0.11642880660822373
38|0.00565764117892662|-0.06343090041037686|-0.050685596230375274|0.013518689364928536|0.17041716554088215|0.025494304624668812|0.0801080367673716|0.16034352734645246|0.05480900815176896|-0.10609723752489536
39|0.10761493659414095|-0.005440547303382205|-0.049809447688510144|-0.00544328764086199|-0.10025507645919116|0.025675831761962413|0.0571041424095443|0.22116771784671047|-0.10420991071584584|-0.07371991203537859
40|-0.017766775565321243|-0.0335775876021629|-0.04272269018680915|0.031621802181900395|0.31873143591190894|-0.07157107540746534|0.38594272894247883|0.09881572149508715|0.24720131467076892|-0.0179414554057418
41|-0.011036930988076508|-0.0553009273926743|-0.020873618688327475|0.058929677385637064|0.320163763778311|0.05682187926338782|0.32439064474067764|0.09527074581486035|0.22292624751036227|-0.030410983706856288
42|0.06936259868152836|-0.058767501901989|-0.12899612995184562|0.0018376475687786977|0.08722702197098554|0.09932318275626326|0.09434457506950121|0.15153106388455131|0.11584730289631726|-0.020172499843224934
43|-0.03918276859656485|-0.04715288043349345|-0.00018532000375343167|0.028793124798889614|-0.06640925302464759|0.09205756407904683|0.12769798217124784|0.08215675717389942|0.10487698283570955|0.20914010318829773
44|0.48698725161056317|-0.12784923503819512|-0.1909314696134973|0.018319392551104267|0.015642659791679767|0.09772608509455218|-0.006232019663379826|-0.09846379234384947|-0.11718648380430857|0.020878098018037142
45|-0.13892821264642838|-0.07761435210898285|-0.30321086704067995|0.16349826627978695|0.17914394381131488|0.1872533653067739|0.08219709320942167|-0.1531415149878612|-0.15849358084469836|0.2076048182539576
46|0.00607969594660013|-0.010804688479439968|0.04243250704086539|0.04597849854139182|-0.11173456535434256|-0.0362157497044024|0.2368046005169319|-0.011480989751804737|-0.09066316192935614|0.10464667349674797
47|0.05636562314297945|0.08026075094405763|0.10287531502808403|0.0687581411330792|0.06512549842609001|-0.12026799845759822|0.28212365166301445|-0.01813803655204737|0.009604958091190044|0.10428719948737122
48|0.021258199646815214|0.1603777583596407|0.12745402640943893|-0.015471986687191758|-0.024918311382423262|-0.23055702083426144|0.04708764713121831|-0.014889895123929752|-0.005090901622723978|0.08563041484610164
49|0.05884022358451995|-0.034946449702483486|0.15989739522718868|-0.12253427402952961|0.0671013735742209|-0.13828410040918643|-0.09655245371012343|0.11549833384085816|-0.2222264567741169|0.0008897023303731788
50|-0.0917350371054184|-0.009550150821781291|0.16014069380585164|0.0785836138055856|0.025224154818100215|-0.042907787567400824|-0.07875761465783493|-0.008268051335744953|-0.12438107574960432|-0.11273454461821766
51|0.03866258132583734|0.02184360940197836|0.13130718514671513|0.02126840769073193|0.11697285636452835|-0.19903138836757708|0.07636797349953615|0.06456531896753627|-0.06268747855356584|-0.2243207906947747
52|-0.19703984254911389|-0.2364071851584707|0.20215269446066764|0.04895616950804467|-0.11476735601826912|0.11322588265452291|0.16881020529768567|-0.14011212254619432|-0.13227482277652988|0.19019023239380198
