doc_id|T00|T01|T02|T03|T04
0|0.0009170842676656724|0.0009084521711778833|0.0009204820546434271|0.0009080556339580764|0.996345925872555
1|0.0012940824491227793|0.0012990638726651323|0.0013184091457733766|0.00130028269369412|0.9947881618387445
2|0.0011114526669717005|0.0010985795929616471|0.21317974937057646|0.0010945352007717963|0.7835156831687183
3|0.0018628975784700447|0.0018453632088314136|0.001875379730500489|0.0018431102651795116|0.9925732492170185
4|0.0013277231106522814|0.9946518843716898|0.0013487240163045156|0.001334481928758838|0.0013371865725947134
5|0.0012494626264500514|0.0012458523474409087|0.43413148120524814|0.4322433125832406|0.13112989123762017
6|0.0013713862374017587|0.0013610946193830201|0.9945138799221471|0.0013636436662674738|0.0013899955548005742
7|0.0011979998407902163|0.0011867905792024463|0.001213056120758855|0.0011911012184036554|0.9952110522408448
8|0.0011000316221402313|0.0011166893204042178|0.3949704086266441|0.001096477188594166|0.6017163932422173
9|0.0013689266713885217|0.0013718645414376993|0.0013887191658391424|0.0013729680690990741|0.9944975215522356
10|0.0009377559331507976|0.0009329347487508149|0.17723876075599182|0.0009294604480307141|0.8199610881140759
11|0.0015019815066599127|0.0014843170715664288|0.0015070951045922933|0.0014880471230312004|0.9940185591941503
12|0.0016083452158530782|0.0016001373592838494|0.0016238956480291663|0.0015976703698379184|0.993569951406996
13|0.0021209029897389584|0.0021401120894624995|0.6133487504878985|0.002083758519430224|0.3803064759134698
14|0.0022260326384626094|0.0022355195935579494|0.0022679838758582916|0.0022278697095123386|0.9910425941826089
15|0.0018017820569491071|0.0018034264423903105|0.20611568037299824|0.001793712276334582|0.7884853988513278
16|0.001621325231614563|0.0016058894261273377|0.036500979730886896|0.0015935044037253972|0.9586783012076459
17|0.0011099371597969585|0.0010931031735911408|0.995601200451372|0.0010914211291282434|0.0011043380861117098
18|0.0013507042022783983|0.001341897419314396|0.2234465254002142|0.001344813893636789|0.7725160590845562
19|0.09049158083039341|0.0018720375053720923|0.0019076933462129706|0.0018849712585912812|0.9038437170594303
20|0.0014930636858917364|0.0015188260180384336|0.5137874571018863|0.001493329668938336|0.48170732352524503
21|0.0020893037752471523|0.002051894122086494|0.1122671340664662|0.002059499287732543|0.8815321687484675
22|0.0015848683105122452|0.0015740841362664754|0.001587729170262086|0.0015712559534997064|0.9936820624294596
23|0.0011683411316150715|0.0011452214248308331|0.001169892114995329|0.0011493000581199553|0.9953672452704387
24|0.0019864827209920407|0.001964018872680001|0.0020047766213693577|0.001979166599698032|0.9920655551852606
25|0.0016854867540675457|0.0016686803742741577|0.9932745593830342|0.001673350252348785|0.0016979232362752702
26|0.0014448874051155936|0.0014351803546494791|0.0014609659839958035|0.994193378607864|0.0014655876483751274
27|0.0017248828693047604|0.0017197234034261389|0.3411402471625082|0.001720728513316626|0.6536944180514443
28|0.0018098006930274263|0.0018231643734602418|0.9927201955704736|0.00180008169666245|0.0018467576663762251
29|0.0018581696199006853|0.0018624190429002343|0.3344536107147768|0.0018577897421371906|0.659968010880285
30|0.0009092039450328643|0.000900365811419208|0.09110180351075033|0.0009025499785307611|0.9061860767542669
31|0.001785702312448065|0.001768829893711005|0.9397454610957859|0.0017699265158206575|0.05493008018223436
32|0.0017310642509987897|0.0017287986013802689|0.0017591236039845967|0.4688927961630583|0.5258882173805781
33|0.0014801786600532627|0.0014704771711417576|0.9940868793693242|0.0014743348982931197|0.0014881299011876652
34|0.0009341064691549317|0.0009337537818817029|0.2315262591663558|0.45739344386864084|0.3092124367139667
35|0.0011138967444047625|0.0010942554650625598|0.0011066833085730547|0.0010901740318456686|0.9955949904501139
36|0.0017286045775164525|0.0017112494839521385|0.4710359388497745|0.0017170297889767424|0.5238071772997801
37|0.0011857681520135578|0.0011767406447686487|0.21651642356065892|0.0011717088110352349|0.7799493588315236
38|0.001120507118764005|0.001118009639613539|0.21381100696470248|0.0011129548850506862|0.7828375213918694
39|0.0012786832527028262|0.0012725577265119436|0.17456527257923937|0.0012749328300034504|0.8216085536115424
40|0.0011667425203292002|0.0011635008787009584|0.21327604962114247|0.0011679238690182367|0.7832257831108091
41|0.001230968973623299|0.0012247610805179228|0.20432680636478587|0.001227219090416605|0.7919902444906562
42|0.001193592293966034|0.7385164787504997|0.15663469043412864|0.0011909998223658795|0.10246423869903963
43|0.0012418070060665257|0.0012509205756636099|0.07490543110286432|0.0012379405356172277|0.9213639007797884
44|0.0013376669135515128|0.0013297124459347638|0.9946530050324623|0.0013314759292057214|0.0013481396788457933
45|0.0013221641360005294|0.0013196096920497663|0.9946917940238723|0.0013287554071863244|0.0013376767408908355
46|0.3558613102010056|0.0009455207054714682|0.05470372896453877|0.0009485501738944516|0.5875408899550897
47|0.0013766531554580885|0.0013617497997944314|0.0013903843177697959|0.0013681921162616328|0.994503020610716
48|0.001082545052217327|0.0010852117344612923|0.001100022942550256|0.0010827250888067615|0.9956494951819643
49|0.0010403804839097459|0.0010183014593339367|0.9958749516657652|0.0010277124849689078|0.001038653906022118
50|0.0010343727966378516|0.0010305048202105154|0.9958545793725785|0.0010292215894867427|0.001051321421086515
51|0.0012974112636021805|0.0012925789488923713|0.981057435045416|0.0012925445464973724|0.01506003019559223
52|0.0009559725184506858|0.0009435694535822592|0.7718687161170864|0.2252690232303586|0.0009627186805220051
53|0.0008083661555222089|0.0008015309955878031|0.9967718256869325|0.0008020932770360205|0.000816183884921584
54|0.0011776863498679003|0.0011588847496523706|0.13671274615238244|0.0011630352116891631|0.8597876475364081
55|0.0011210588593959052|0.001111219861773783|0.9955204196946538|0.0011116197202016875|0.0011356818639748684
56|0.0010392284328477259|0.001029494158513048|0.04366147640079648|0.0010312485253760224|0.9532385524824667
57|0.0015780448666055623|0.0015642337492999103|0.9936957725003456|0.0015617846643112164|0.0016001642194377072
58|0.00135922720773531|0.0013461306783926316|0.9945833766458453|0.0013425008643668701|0.001368764603659771
59|0.0016264689092772425|0.0016154629278847794|0.10061557798384017|0.0016254111904463902|0.8945170789885515
60|0.5492105361853997|0.0012437451974198403|0.13465773588401267|0.0012428289208665998|0.3136451538123012
61|0.0009542876830494521|0.0009518960084135984|0.9961750164843011|0.0009509118276703031|0.0009678879965656481
62|0.0011787268244531962|0.0011773885093730584|0.9952776469018308|0.001176261385947386|0.0011899763783955577
63|0.00105267302085563|0.0010512496322056047|0.8193878643157312|0.0010458663624163382|0.17746234666879124
64|9.858093067781894e-05|9.720689313041586e-05|9.860816586422264e-05|9.722392231852941e-05|0.9996083800880091
65|9.80664855400074e-05|9.642015325465163e-05|0.05921175201760129|9.677111376221556e-05|0.9404969902298419
66|7.389271750797308e-05|7.357528109939788e-05|7.444771320308273e-05|7.367441878928014e-05|0.9997044098694003
67|7.25453703374955e-05|7.192359848957619e-05|0.03650332028153626|7.229443985955367e-05|0.9632799163097772
68|8.142166469626915e-05|8.071323578135973e-05|8.138255990528646e-05|8.070679596828757e-05|0.9996757757436489
69|9.797192897477639e-05|9.725009224501285e-05|9.827262990507058e-05|9.706186297911521e-05|0.999609443485896
70|0.00021082253908272108|0.00021002353622692974|0.00021206866852457922|0.0002105430139480824|0.9991565422422177
71|0.0012070501486891939|0.0012003457404879954|0.0012127591433240162|0.001205421295281377|0.9951744236722175
72|0.0002097150182993737|0.00020726657313063638|0.00021061004403203634|0.00020851276280046854|0.9991638956017375
73|0.9987453071398593|0.0003121827873383359|0.00031465202188652586|0.00031234034124981615|0.00031551770966596653
74|0.9950728305591152|0.0012203497326610264|0.0012417436246289781|0.0012217927259812172|0.0012432833576136375
