term_str|n|p|i|stop|porter_stem|max_pos|max_pos_group|dfidf|ngram_length
sententiae|2|3.746862003072427e-05|14.703957630249695|0|sententia|NN|NN|0.09856001591871556|1
originators|2|3.746862003072427e-05|14.703957630249695|0|origin|NNS|NN|0.1051853332073551|1
kan|2|3.746862003072427e-05|14.703957630249695|0|kan|NNP|NN|0.1051853332073551|1
hoc|2|3.746862003072427e-05|14.703957630249695|0|hoc|NN|NN|0.08647458808730868|1
closely|2|3.746862003072427e-05|14.703957630249695|0|close|RB|RB|0.11660188662006224|1
42|2|3.746862003072427e-05|14.703957630249695|0|42|CD|CD|0.06363336834140551|1
cautions|2|3.746862003072427e-05|14.703957630249695|0|caution|NNS|NN|0.10789651128766273|1
intercourse|2|3.746862003072427e-05|14.703957630249695|0|intercours|NN|NN|0.10317152338375603|1
dispose|2|3.746862003072427e-05|14.703957630249695|0|dispos|JJ|JJ|0.11295805642303383|1
pregnant|2|3.746862003072427e-05|14.703957630249695|0|pregnant|JJ|JJ|0.09159444188647389|1
child|2|3.746862003072427e-05|14.703957630249695|0|child|NN|NN|0.09159444188647389|1
plunderers|2|3.746862003072427e-05|14.703957630249695|0|plunder|NNS|NN|0.09159444188647389|1
joints|2|3.746862003072427e-05|14.703957630249695|0|joint|NNS|NN|0.12812903580255222|1
writers|2|3.746862003072427e-05|14.703957630249695|0|writer|NNS|NN|0.09746439947989646|1
mourns|2|3.746862003072427e-05|14.703957630249695|0|mourn|NNS|NN|0.13029650247856672|1
disastrous|2|3.746862003072427e-05|14.703957630249695|0|disastr|JJ|JJ|0.10755032000493195|1
express|2|3.746862003072427e-05|14.703957630249695|0|express|NN|NN|0.12302678284512195|1
interpreted|2|3.746862003072427e-05|14.703957630249695|0|interpret|VBN|VB|0.11324227367698667|1
responded|2|3.746862003072427e-05|14.703957630249695|0|respond|VBN|VB|0.1101607844115631|1
denominated|2|3.746862003072427e-05|14.703957630249695|0|denomin|VBN|VB|0.11492928097644724|1
groans|2|3.746862003072427e-05|14.703957630249695|0|groan|NNS|NN|0.14644020321609796|1
sorrow|2|3.746862003072427e-05|14.703957630249695|0|sorrow|NN|NN|0.13029650247856672|1
breaks|2|3.746862003072427e-05|14.703957630249695|0|break|VBZ|VB|0.1210699753729864|1
thâisze|2|3.746862003072427e-05|14.703957630249695|0|thâisz|NNP|NN|0.0|1
maintained|2|3.746862003072427e-05|14.703957630249695|0|maintain|VBN|VB|0.1025024671944529|1
