term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
abide|-0.016424130685004985|-0.00732606490053378|0.033589121427990434|0.02633271355379281|-0.0218592824703335|-0.0029919567322561|-0.014186578967458336|0.06729893344698097|0.022023215375315056|0.01581358032751496
able|0.007950487684153148|7.480475939132289e-05|0.011562706740526934|0.020902129135098025|0.013765187068535443|0.0071198029364887075|0.00562552293013687|0.02019175373498268|0.010173982664162206|-0.034118462800282294
accordance|0.08529635520414153|0.04339115398662205|0.10700845709024784|0.12860902009667002|-0.004814256053193314|-0.02828219126541893|0.13947561457499613|-0.019804734445698947|0.08045905197702573|-0.072859645790152
according|0.048352815737108035|0.02858196606832536|-0.005853912532179927|0.06501245255177492|0.03671473164992747|0.004078517808713511|0.025966107153562446|0.021627639868650742|-0.0015503942963553223|-0.028906487748453495
accordingly|0.019032671662374104|0.0014632670551394246|0.041284245531216235|-0.003339143935310185|0.012788818782501717|0.028632894149269963|0.02478286102640624|-0.03380685438735911|-0.002529660836637948|-0.043134935171496844
account|0.01942336039893695|0.004758121124065824|-0.00463576487407489|0.03979531486462032|0.002752428139082626|0.01334674032155513|-0.010836476782141885|-0.02505183442203217|0.00810437994077324|0.06533130398251355
act|0.01749549807333099|-0.0078461776560021|-0.011824710154518638|-0.01953093594145664|0.00715838905857276|-0.05700077653843979|0.021389839223561385|-0.006900078482682747|-0.0018408232767194964|-0.005242770441694429
acting|0.011243859545372855|-0.0020232421897830714|0.0172775969980802|0.04861226135343458|-0.03629560781019877|-0.003400141998473976|0.0078506615097305|0.014729444771832223|0.01383726507687141|-0.05916585910682664
action|-0.004356222986103415|0.0009179611047432574|0.04764980495695084|-0.011905089414985467|0.011974939465256804|-0.02172081611240834|-0.0533638044515226|-0.06475432771645075|-0.009688351517574858|-0.019487868114765966
active|0.04265289395599096|0.025470913653325093|-0.024684145401495144|-0.015215615867516434|0.014457686759217653|0.019948194630126034|-0.03876927953407884|0.01595494118122782|0.004900449297731666|-0.011753696672347803
advance|-0.04937839256959502|-0.11537288305032717|-0.17061411455764539|0.14757660412056253|0.19871583993776926|-0.012485616594189257|0.10550421908249252|0.07813689844504494|-0.08957675309185842|0.17055962596459998
advancing|-0.02625610967410134|-0.0760225425315075|-0.08191609249938679|0.07304757386156718|0.2733435959230144|0.02557139016332506|-0.009187884683824858|0.07002300269784456|-0.03175490551105265|0.17678387009333693
advantage|-0.03534008600119013|-0.004258315145408797|-0.02325223752237143|0.04041074569182882|0.030015471235033717|-0.0421762911813554|0.011923384700969557|0.03138567700978505|0.016202969612960586|-0.04165168440197322
