doc_id|T00|T01|T02|T03|T04
0|0.0004702410694539542|0.9980979190472142|0.00047290762950809133|0.0004784745521508276|0.0004804577016729205
1|0.0006455391924716235|0.0006632805091834346|0.0006488841213470325|0.000657356398460709|0.9973849397785371
2|0.0005249191841987599|0.0005339724546800005|0.0005317842741622964|0.0005355186493893935|0.9978738054375696
3|0.00072516144072068|0.0007383895016403559|0.000731571207822886|0.0007405326286403218|0.9970643452211758
4|0.0006394742776170506|0.0006514830857370067|0.000641786513877111|0.0006491620820244766|0.9974180940407443
5|0.0005393996785864445|0.000552116597619237|0.000541851622027891|0.0005482963439635237|0.9978183357578029
6|0.000581195694934595|0.9976483627016094|0.0005838601337161957|0.0005906567747249491|0.0005959246950148501
7|0.0005691997509230594|0.000581638889183887|0.21294377978547852|0.0005830018177302202|0.7853223797566843
8|0.00052877676920749|0.0005354070996097897|0.0005256084506726389|0.000530825087725091|0.997879382592785
9|0.0006679889342172693|0.0006781808662395302|0.0006705108659513803|0.0006763008001499683|0.9973070185334418
10|0.2279949127901076|0.0004864273737384104|0.00048024974969459154|0.0004829363699493596|0.77055547371651
11|0.0007696732741352807|0.0007754403289856985|0.000765098613067256|0.0007753764857242283|0.9969144112980876
12|0.0007644923618159207|0.0007788415577371227|0.0007681520279530735|0.8304170258821677|0.16727148817032628
13|0.0008972155290087327|0.0009150263766462087|0.0008996273614271372|0.0009136435672551162|0.9963744871656629
14|0.0009561817525263554|0.0009710748820279153|0.0009557266715176927|0.0009671401653092816|0.9961498765286187
15|0.0007894944416587715|0.0008058487159288763|0.000792226891577252|0.0008025969379416446|0.9968098330128934
16|0.0007388119011098171|0.0007524782905251743|0.000743299453572201|0.0007520528078782133|0.9970133575469147
17|0.0004919290739833081|0.9980084572046024|0.0004945746229075643|0.0005009228560851235|0.0005041162424217588
18|0.0006315995664247987|0.0006473247049624882|0.000634777395668311|0.5516987497309886|0.44638754860195556
19|0.0008525819032440962|0.0008686094519238581|0.0008569670221887045|0.5803165788427653|0.417105262779878
20|0.0006140868956264572|0.0006253161850869621|0.0006170301591400474|0.9014519981102324|0.09669156864991418
21|0.0007173232680991811|0.5597524037883207|0.0007244771984000417|0.0007350426626858913|0.43807075308249405
22|0.0007075828815113385|0.5956613899496278|0.0007101041798293532|0.0007205896636660973|0.4022003333253654
23|0.0005117142017255214|0.0005215669511019997|0.0005155229060530109|0.0005214291708857124|0.9979297667702338
24|0.0007757962834969384|0.0007885124945309468|0.0007785337756194412|0.0007890186585519582|0.9968681387878007
25|0.28546428416034836|0.0007426598989950626|0.0007312686253355543|0.0007425766736011131|0.7123192106417199
26|0.0006626457088857769|0.0006739201279178788|0.0006659929759070425|0.000675108082785514|0.9973223331045038
27|0.0007443366406868677|0.0007610637739589882|0.0007497323474902275|0.0007554693052051825|0.9969893979326588
28|0.0006806263801433514|0.0006929909845869195|0.0006850758885553473|0.0006908506275250263|0.9972504561191894
29|0.0006588866275058512|0.0006708145975087509|0.0006640632127401662|0.0006686339253723749|0.9973376016368728
30|0.0004558947128025193|0.00046381746292574526|0.0004614583028612547|0.0004649829173304395|0.99815384660408
31|0.0007877134937544823|0.0008040890665549373|0.0007958675910740913|0.0008023853731355192|0.996809944475481
32|0.000819885344876403|0.0008312451421750155|0.0008227262738319836|0.000831502729815754|0.9966946405093009
33|0.0006815622142115823|0.0006938083473738701|0.0006836640607457864|0.00069498592013457|0.9972459794575341
34|0.0004862703937710621|0.0004961080032753896|0.0004911992011439597|0.0004949351513034477|0.9980314872505062
35|0.0005546999230666096|0.0005645430827265563|0.0005579594738961961|0.997754455760479|0.0005683417598316262
36|0.0007552226218365352|0.0007678559933211488|0.0007624642342639875|0.0007698380102552886|0.9969446191403231
37|0.0005356873279354201|0.0005448889642216487|0.000538660470999742|0.9978332727884628|0.0005474904483804456
38|0.0005947478008791555|0.0006056259352456887|0.0006016666107582576|0.0006071083336370393|0.9975908513194798
39|0.0005658264453387174|0.0005784802271891736|0.0005687480278483715|0.9977054913705878|0.0005814539290359484
40|0.0005035812070205184|0.0005102167184548856|0.0005033249604676374|0.00050942499977242|0.9979734521142845
41|0.0005775431320995277|0.4651093358729378|0.0005825547169853445|0.0005872613897886861|0.5331433048881885
42|0.0005285293439504307|0.0005386197586187073|0.0005309100139424277|0.0005400129880400965|0.9978619278954484
43|0.0005157471636719169|0.9979111206361063|0.0005203766983801273|0.0005242137040894123|0.000528541797752196
44|0.0006140573360485157|0.0006261296324089634|0.0006180779002326213|0.7392345508383407|0.2589071842929693
45|0.0006275333388340589|0.00064315135976842|0.0006352199826164072|0.0006400367707368719|0.9974540585480443
46|0.00043656046308482435|0.00044566625644242036|0.00044015697477354387|0.9982300091070152|0.00044760719868412545
47|0.0005754132527541598|0.9976717411574998|0.0005797377303294569|0.0005843636829338292|0.0005887441764827864
48|0.0005322035999850651|0.0005441242502256142|0.0005354061668298406|0.0005422162565739519|0.9978460497263856
49|0.00043909860866704414|0.00044804753232901233|0.0004416745331533583|0.00044747718448407694|0.9982237021413666
50|0.0004547790928092216|0.00046283899556038774|0.0004578330578292668|0.0004619458770384202|0.9981626029767627
51|0.0005719808786473293|0.000582780692089013|0.0005756516453726928|0.9976829505356134|0.0005866362482775596
52|0.0004382210070649699|0.0004484327435176788|0.4892867438211219|0.00044710775204979296|0.5093794946762457
53|0.0004165328527990124|0.0004261571582634249|0.6133639473607152|0.00042530459863247567|0.3853680580295899
54|0.0004884071296338892|0.9980190616711374|0.0004929087341106471|0.0004981797390289383|0.0005014427260892879
55|0.0005088943045432701|0.8968956094039627|0.0005134066375729369|0.10156094028924303|0.0005211493646780045
56|0.0004964989793473075|0.0005082964346857828|0.0004978879824793235|0.0005047332153198479|0.9979925833881678
57|0.000692317788983958|0.9971949959956062|0.0006958179004348467|0.0007057204740269934|0.0007111478409477784
58|0.0005174986104504073|0.0005267566114734559|0.0005215607263742569|0.0005293275836636263|0.9979048564680383
59|0.0006487258770465012|0.09932909534311253|0.2239616392397682|0.0006607612388433498|0.6753997783012294
60|0.0005337831729319911|0.0005454994624619523|0.0005368561532207059|0.0005456815252934872|0.9978381796860918
61|0.00046238857245467485|0.998126409233675|0.00046486313426324954|0.0004711109327941058|0.00047522812681298536
62|0.0005135324608857678|0.9979208624800822|0.0005179118922808379|0.0005211792683899192|0.0005265138983613318
63|0.0005034049657138912|0.0005157637458446803|0.0005060704761028288|0.0005116996366896748|0.997963061175649
