term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
1|-1.2958469325043094e-17|-8.508303128392774e-17|4.015892270741238e-17|1.6052995886781428e-16|1.7600826600554176e-17|4.2376531676399306e-16|1.54545727988124e-16|3.7165932758742993e-16|-5.014704135517637e-16|-2.729974953142435e-16
12|-0.00443440177981213|0.018501336097580062|-0.010215293339045035|-0.004377245440151074|-0.005174252329199357|-0.010440140857101581|-0.002176104266159767|-0.005914858496295951|0.007687357691980525|0.001413636823090847
128|-0.007617879176551615|0.0013514583353301333|-0.007042676280263946|0.0011385167688872312|0.00036232511804572064|-0.015407502969858008|-0.02539136240490725|0.01737359363576018|-0.0030482895109472624|0.05086528799901164
14|0.008434210540741198|-0.0015568899184699124|0.008651879656903925|-0.012104764375148843|0.008467316405959279|-0.023094442741991104|0.00241264762685535|0.030826916861993892|-0.009103868199260571|-0.017028268009525293
1686|-0.01614245848231109|-0.018714007729388173|0.0020587008820578913|0.00838642749106197|-0.0075443604801702325|0.011287067216524935|0.004689488786419635|-0.00040323324047877743|-0.012820955578038518|0.02075597755032387
2|2.0976628362457978e-16|-1.4992496602847661e-16|-8.891839551142818e-17|-1.6844767346942888e-16|-3.342393244339682e-16|-9.087269045273364e-17|-3.4225347198332946e-18|-1.3526524088429806e-16|-2.49177472961544e-16|-1.8642183519955693e-16
25|0.012564755873321155|-0.004285080326467489|0.002678181237540599|-0.008409464479525258|-0.020712042339537617|-0.02594255849938325|-0.020147086110669985|-0.005456057355362346|-0.011378357855851956|0.04616323430771765
259|-0.017662442333577853|-0.012279655183119693|0.022794420801367093|0.011814880550609974|-0.008793099352787628|0.010040478398471641|0.014277381653029714|-0.006944591281933092|-0.00910179493894721|0.0077081978433587205
27|0.008766462782207572|-0.005277253658309409|0.008812360262955834|-0.018611649639946642|0.004044838205201644|-0.01717223467959291|-0.006379736801449927|0.02982015997264713|-0.016538398702252145|-0.0033065025114956265
3|0.0007454758476475861|-0.00032837125507191437|-0.00018576394841816698|0.0005278175145430397|0.00023384295033913204|0.0004189611820056881|0.00034534743300529907|-0.00028562005311238975|6.880541631915988e-05|-0.00039102508241373917
35|-0.008670087239811457|-0.011017092005131622|0.006169769090321372|0.007378672076264236|-0.004613540260280867|0.00546864813216553|0.018702886730197696|0.0018916657772814667|-0.017697623809677033|0.03516552698596435
38|0.007996017409390361|0.00018949475851538615|0.007964070127160258|-0.004215121944354522|-0.013464968004762917|-0.011839393303750041|0.02074079534818273|-0.007537980357208476|-0.008642747271061546|0.012592108818192978
381|-0.01040053724069992|-0.011172930294797555|-0.019772948002599714|0.009944676584331551|0.02332706274791705|0.014599470806703875|-0.01076652035624033|0.00282783378960059|-0.007211727016048962|0.059523036849899194
4|-7.998076714871176e-17|1.9527494330794033e-17|2.5581285472584018e-18|-6.71985359796802e-17|-2.5593295482232245e-17|1.173381626312396e-16|-4.418175032719354e-17|-7.300502354963113e-17|2.8764782566822225e-17|1.115940628296573e-16
42|-0.006644376314862015|-0.006358661854100163|-0.007346425757785236|0.02031536859994247|0.002526299255136474|-0.015221393477418676|0.0038159277867968427|-0.00982794925534796|-0.011704126465636176|-0.011155128517195492
46|-0.019463578671254124|-0.02247486845309116|0.0025598840751372524|0.012817008695410605|-0.00037551659405080556|0.011138629819893449|0.0032500802526844725|-0.007851075578916478|-0.020769754400506744|0.024662396918191554
